,ICB984
RERFGC1B,0.1449855299785606
HS852T,0.1446624519533408
HS729,0.14463611173789132
DKMG,0.1441809941977344
NCIH1693,0.1436542787023297
SKOV3,0.14310491382761634
TE11,0.14262067310065332
KLE,0.14250084792107603
SW780,0.1423716358600614
COV318,0.14237068821153442
COLO679,0.1423041484676065
SNU398,0.1420979694768138
CAL78,0.1416908106443959
BT474,0.14137234184076777
RD,0.14112797573153474
KP4,0.1410065594496417
SKMEL24,0.14030101225218278
MG63,0.14022891852907976
BXPC3,0.14016037306743206
SKMEL5,0.13976026838324726
HCC4006,0.13971522736684452
WM983B,0.13968450778151087
K029AX,0.1389103654040124
KMS26,0.13886804462257193
NCIH647,0.13842983711310355
TCCSUP,0.13818563837535638
HCC1569,0.1377266599089668
SU8686,0.13765201341165184
HCT15,0.13748898079496977
A549,0.13680339339316203
SW1990,0.13665112744777366
DETROIT562,0.1361629654785524
HS746T,0.1361268110290692
A2780,0.13577825441400934
HS936T,0.13528192826591112
ISTMES2,0.13487365473744814
A253,0.13415147718557552
KURAMOCHI,0.13364968452260556
TE617T,0.13351515355792576
A204,0.1327182443178376
EM2,0.1325587936905245
MOLP8,0.1318711741771427
MHHES1,0.1314402950805207
SF126,0.13141027011612944
SNU182,0.13137935893892677
PC3,0.13118936863827396
SW1573,0.13085659613532888
KMRC2,0.13080762412236574
NCIH2228,0.13063908838766095
UACC812,0.13029779485007137
786O,0.1300609830672831
CALU3,0.12979776090926884
A172,0.12966816818327298
HS294T,0.12934809348599596
HS739T,0.1292329512928788
SW1417,0.1284006278878964
U2OS,0.12827974790619767
PANC0327,0.1281882397793144
SNU423,0.12809885508437008
NCIH1869,0.1278690910151888
LUDLU1,0.12782738077388456
MFE319,0.12720256985573658
GB1,0.12711461717645464
OVCAR4,0.1268245580980576
SW403,0.12671301010525501
SKMEL31,0.12621622100763338
HS939T,0.1256190200759627
IPC298,0.12556662466126772
SKHEP1,0.12544792989816064
T98G,0.12542239601723285
WM88,0.12491955325310972
LP1,0.1246757960193451
NCIH2085,0.12453235866719096
NCIH2172,0.1244080490540605
NCO2,0.12435635644900773
LU99,0.12399058895625355
HUPT4,0.12383726025343962
L33,0.12380321980302608
NCIH1703,0.12361389153059012
KYSE520,0.12353232272951525
YKG1,0.1230915539669598
RKN,0.12298919236170786
NCIH1573,0.12287193742838143
SW48,0.1227544023489757
GAMG,0.12232490152873367
RERFLCMS,0.12224577542585965
UACC257,0.12158985591569348
CAL851,0.12065071707380187
KYSE70,0.12016350268358797
WM2664,0.11942530333138836
PC14,0.11924046788724212
SW1271,0.11914232949746476
SKLU1,0.11817988780710408
CALU1,0.1178252646656981
J82,0.11769338055122973
NCIH650,0.1173508771625216
8MGBA,0.11684424827929624
LCLC103H,0.11682664519420412
HCC827,0.1168079694593893
HCC15,0.11597904644081734
SCABER,0.11595126061848661
8505C,0.1158817728513397
NCIH1648,0.11577300385023624
KMRC1,0.11576028978407567
MDAMB468,0.11460857773558963
PANC0203,0.11455182925732237
CAL12T,0.114443488845812
