,ICB984
RH41,0.14103353887207076
KP4,0.1410065594496417
CAKI1,0.1404721991017039
SKMEL24,0.14030101225218278
MG63,0.14022891852907976
BXPC3,0.14016037306743206
MDST8,0.13977858519208558
SKMEL5,0.13976026838324726
HCC4006,0.13971522736684452
WM983B,0.13968450778151087
ECGI10,0.13904249071382813
K029AX,0.1389103654040124
NB1,0.13871402465356927
NCIH647,0.13842983711310355
TCCSUP,0.13818563837535638
RCC10RGB,0.1380053752140896
DANG,0.13792186128219525
HCC1569,0.1377266599089668
HS888T,0.13765880033814365
SU8686,0.13765201341165184
HCT15,0.13748898079496977
647V,0.1371051095234975
SF539,0.13695525724522095
A549,0.13680339339316203
SW1990,0.13665112744777366
PECAPJ34CLONEC12,0.1363907895868482
COLO829,0.13623369576139774
DETROIT562,0.1361629654785524
CAL148,0.13613648551132024
HS746T,0.1361268110290692
A2780,0.13577825441400934
RH18,0.13566283131915385
CCFSTTG1,0.13534274954891573
HS936T,0.13528192826591112
PECAPJ41CLONED2,0.13444400747764376
SNU8,0.13441516706371262
A253,0.13415147718557552
HSC3,0.13380307836884478
KURAMOCHI,0.13364968452260556
TE617T,0.13351515355792576
SNU216,0.13308206153401098
KU1919,0.13273544601635606
A204,0.1327182443178376
MOLP8,0.1318711741771427
MHHES1,0.1314402950805207
SF126,0.13141027011612944
SNU182,0.13137935893892677
PC3,0.13118936863827396
SW1573,0.13085659613532888
KMRC2,0.13080762412236574
NCIH2228,0.13063908838766095
786O,0.1300609830672831
CALU3,0.12979776090926884
HOP62,0.12976059583815674
HCC1143,0.1296713799390419
A172,0.12966816818327298
EKVX,0.12950282233162377
HS294T,0.12934809348599596
HELA,0.1288156088705934
TCCPAN2,0.12841358510274908
SW1417,0.1284006278878964
U2OS,0.12827974790619767
BICR6,0.12823375808889784
ECC10,0.12822474853879964
PANC0327,0.1281882397793144
SNU423,0.12809885508437008
NCIH1869,0.1278690910151888
LUDLU1,0.12782738077388456
OVK18,0.12753812225919828
NCIH2291,0.12737181309680065
MFE319,0.12720256985573658
GB1,0.12711461717645464
OVCAR4,0.1268245580980576
SNU1066,0.12656393729822282
SKMEL31,0.12621622100763338
HS688AT,0.12589073945570117
SNU1214,0.12580280908934247
SNU410,0.12575158831114894
IPC298,0.12556662466126772
SKHEP1,0.12544792989816064
T98G,0.12542239601723285
WM88,0.12491955325310972
SW1116,0.12467978903322088
NCIH2085,0.12453235866719096
YD38,0.12441444204878059
NCIH2172,0.1244080490540605
253J,0.12424022737045068
BFTC905,0.12418076227616963
LU99,0.12399058895625355
HUPT4,0.12383726025343962
L33,0.12380321980302608
NCIH1703,0.12361389153059012
KYSE520,0.12353232272951525
253JBV,0.12334531154873292
SNU1272,0.12322950380338447
NCIH2405,0.1230962804557486
YKG1,0.1230915539669598
RKN,0.12298919236170786
NCIH1573,0.12287193742838143
LI7,0.12284733744205201
JIMT1,0.1227685549109573
SW48,0.1227544023489757
SNU668,0.12246331594616679
BICR56,0.12246128524446578
EFM192A,0.12242472084985577
SNU899,0.1223352038342838
GAMG,0.12232490152873367
RERFLCMS,0.12224577542585965
UACC257,0.12158985591569348
IGR1,0.12153661733947685
YAPC,0.12124293076992308
HUH28,0.12113495256044549
CAL851,0.12065071707380187
KYSE70,0.12016350268358797
YD8,0.11990331815367825
WM2664,0.11942530333138836
PC14,0.11924046788724212
SW1271,0.11914232949746476
CW2,0.11889829294772394
HCC366,0.11848148297304982
SKLU1,0.11817988780710408
FTC238,0.11807965929442359
CALU1,0.1178252646656981
SCC4,0.11750997242189218
NCIH650,0.1173508771625216
TUHR14TKB,0.11717653431022113
8MGBA,0.11684424827929624
LCLC103H,0.11682664519420412
HCC827,0.1168079694593893
KG1C,0.11632124815293403
HCC15,0.11597904644081734
SCABER,0.11595126061848661
8505C,0.1158817728513397
KMRC1,0.11576028978407567
JHOC5,0.11556016693478689
HCC1195,0.11553008516703281
NCIH1623,0.11512769334289316
MDAMB468,0.11460857773558963
PANC0203,0.11455182925732237
HS839T,0.11445790511801104
CAL12T,0.114443488845812
NCIH2030,0.11427533789206726
TE9,0.11425145059754321
ONCODG1,0.11383131620140674
BHY,0.11373324557747648
HS944T,0.11363641581966573
KMRC20,0.1135448450055382
42MGBA,0.1131343227025891
SJSA1,0.11282929185005944
MIAPACA2,0.11240078781284682
SNU201,0.11215631734945634
A375,0.11192868511584725
C2BBE1,0.11183448796511172
GSS,0.1116253106269792
CAS1,0.1113929160506658
NUGC3,0.11082084154639492
KPL1,0.11064895589366329
EBC1,0.1106462393732772
SNUC4,0.11050396099703601
ACCMESO1,0.11031186974156883
769P,0.11020640190908114
NCIH2122,0.10961812013594271
MEWO,0.10955934684634745
OV90,0.10946645773359916
SNU1041,0.10891707741998279
SNU489,0.10870649906153432
SH10TC,0.1086582282644357
KP2,0.10845225113299996
HSC2,0.10820238068303605
LOVO,0.10805907809954367
HMCB,0.10757630309643239
NCIH1563,0.10749433722772551
MELHO,0.10749095015755648
EN,0.1074468530012617
RERFLCAI,0.10737230483727879
IGROV1,0.10706342957202096
SNU478,0.10691758515361445
SNU1077,0.1062627508129201
RT4,0.10624868792386453
MKN74,0.1061479506851639
RERFLCAD1,0.1060790490563544
NCIH2452,0.10567569954992662
RH30,0.10545588067471667
HS934T,0.10539215616461162
GCT,0.10523107211753799
SNU308,0.10520541766466875
CAL51,0.10520313864675489
HCC1500,0.1050980892737646
BFTC909,0.10481194783670479
PANC0504,0.10451379641566232
GOS3,0.10447737933257041
A2058,0.10362559349074935
CFPAC1,0.10329949322950639
CAPAN2,0.10308706596693892
OVISE,0.10287321138249453
COLO800,0.10272126055783645
LS411N,0.10244800039887902
SNU886,0.10243300935239981
NCIH1793,0.1021507235260026
SNU81,0.10194813917868632
CAL29,0.10165284795003943
LN229,0.10151218562941987
HT115,0.10134613001523247
NCIH2009,0.1012725010950014
2313287,0.10107239020895156
SKLMS1,0.10105353478534504
CALU6,0.10102465895601331
