,BT084,COSMIC ID
cosmic_724872,-0.2331592206235446,724872
cosmic_687983,-0.23351454137200528,687983
cosmic_1331039,-0.23354458495366667,1331039
cosmic_949163,-0.23401197622224273,949163
cosmic_717431,-0.23405760531137246,717431
cosmic_1503371,-0.23412517495311397,1503371
cosmic_724828,-0.23465100272177622,724828
cosmic_1299075,-0.23482914720526457,1299075
cosmic_687798,-0.23484952717333818,687798
cosmic_687596,-0.23570736813005103,687596
cosmic_684052,-0.23788487581633946,684052
cosmic_907171,-0.23856012124191245,907171
cosmic_753555,-0.23886733091379952,753555
cosmic_724879,-0.24029950687675938,724879
cosmic_1298222,-0.24051320708920465,1298222
cosmic_925338,-0.24057704204997013,925338
cosmic_1240172,-0.24066663014014922,1240172
cosmic_1297447,-0.24103735566957965,1297447
cosmic_749713,-0.24105045884810555,749713
cosmic_907320,-0.24187635050695505,907320
cosmic_1240209,-0.24263524772208603,1240209
cosmic_906847,-0.24319780994181917,906847
cosmic_1240217,-0.24452619651055124,1240217
cosmic_1287381,-0.24461708803848084,1287381
cosmic_687815,-0.24485840232596884,687815
cosmic_1298538,-0.24490524940028738,1298538
cosmic_949165,-0.24509908986006043,949165
cosmic_907060,-0.2460686482144703,907060
cosmic_908150,-0.24629628534256523,908150
cosmic_1298349,-0.24653600280555177,1298349
cosmic_1240190,-0.2470194156185705,1240190
cosmic_749711,-0.24767894455017447,749711
cosmic_1240141,-0.24798145906104593,1240141
cosmic_910569,-0.24852937851320547,910569
cosmic_1240192,-0.2487128238743517,1240192
cosmic_1298223,-0.24873066228644133,1298223
cosmic_930082,-0.24878847333744983,930082
cosmic_909718,-0.2487923477787174,909718
cosmic_1290905,-0.2491553336733456,1290905
cosmic_1327771,-0.24974619200555365,1327771
cosmic_724868,-0.24985317580101823,724868
cosmic_949156,-0.25006058205974796,949156
cosmic_753556,-0.25017383040053126,753556
cosmic_1480359,-0.25025251428079864,1480359
cosmic_1240205,-0.2503736163300683,1240205
cosmic_1509074,-0.25047513936868365,1509074
cosmic_1480364,-0.25059519457911056,1480364
cosmic_724831,-0.2506459278044526,724831
cosmic_907172,-0.2508799464308229,907172
cosmic_906794,-0.2509376115360124,906794
cosmic_687505,-0.25097093466096704,687505
cosmic_909740,-0.2521828555652539,909740
cosmic_1330931,-0.25320305765011186,1330931
cosmic_909257,-0.2533194738762686,909257
cosmic_1290797,-0.253522108017594,1290797
cosmic_1240135,-0.2536055104727375,1240135
cosmic_1659818,-0.2547169893588772,1659818
cosmic_907291,-0.25487824514915114,907291
cosmic_753546,-0.255118974747554,753546
cosmic_946359,-0.25632802230684815,946359
cosmic_1303900,-0.25638975832482663,1303900
cosmic_1240149,-0.2566517293661238,1240149
cosmic_1330950,-0.256913478469829,1330950
cosmic_906850,-0.2576167979766464,906850
cosmic_684681,-0.2577680972894253,684681
cosmic_1480361,-0.2586317451147555,1480361
cosmic_753577,-0.25863347725517155,753577
cosmic_910853,-0.25874719847545113,910853
cosmic_946370,-0.25892521231718785,946370
cosmic_908126,-0.2589910286938516,908126
cosmic_907785,-0.26033412960263247,907785
cosmic_924187,-0.2604244899451316,924187
cosmic_909256,-0.26092178530164745,909256
cosmic_905977,-0.26100033418832325,905977
cosmic_683667,-0.2611546400683203,683667
cosmic_949090,-0.2613848416030654,949090
cosmic_1290807,-0.26142643575431657,1290807
cosmic_1240178,-0.26181111512857025,1240178
cosmic_909724,-0.2621240036167722,909724
cosmic_1240221,-0.2621826593577597,1240221
cosmic_907042,-0.26233196407563986,907042
