,BT084
NCIH650,0.11097554170813126
KARPAS620,0.11090592819012168
SNU449,0.11068605579029639
TYKNU,0.11013668443383814
EM2,0.11010096921421814
NCIH3255,0.10994252875054882
PLCPRF5,0.10974779667086285
SKNAS,0.10866168159414094
SKLMS1,0.10860605046799203
CAMA1,0.1083979393371953
SW1417,0.10823838405785413
HEPG2,0.10803296977320262
HCC70,0.1075255663342648
MALME3M,0.10729711424521242
GI1,0.1069644635095163
LN229,0.1067568653415678
SQ1,0.1065793487314254
PK45H,0.10656098323152799
RPMI7951,0.10604438801164409
PSN1,0.10596284250001038
SKMEL30,0.10562714564618733
HEC1B,0.10543438293199367
U118MG,0.10480959058337251
KURAMOCHI,0.10466439340054687
COV318,0.10438524594761467
SW1990,0.10438270585928984
DEL,0.10436898948674023
SKCO1,0.1038299524763898
RPMI8402,0.10346379276050349
HEC251,0.10320612825355285
697,0.1032057178753341
EBC1,0.10307260724884865
CORL105,0.10302656066255961
SW1271,0.10274565822305438
SKMM2,0.10257673326741219
SUPT1,0.10224586970159141
NCIH2087,0.10120523340318348
HT1080,0.10078158441478223
NCIH226,0.10033628268904288
PATU8902,0.09998538808355106
HCC2935,0.09966943568250068
HS766T,0.09961039756345502
HCC827,0.09916250337734153
KP2,0.09777091342824766
SUPM2,0.0973639825172163
SNU387,0.0969052433278738
639V,0.09681446248962128
KMM1,0.09643160389458373
LS123,0.09635345032548533
HUPT3,0.09608571722870644
PANC0203,0.0957804988333165
HPAC,0.0951292107243524
GRANTA519,0.0949657266928447
HDQP1,0.09467550570543495
U937,0.09438669047977509
MDAMB468,0.09437151752597323
A2058,0.09429785569882797
BL41,0.09359872468791505
LOUNH91,0.09354534846050436
COV504,0.09331289345498754
G401,0.0933066426088875
RKO,0.09325072864315752
KYSE140,0.09260943503256198
NCIH1373,0.09227509331203618
EFO21,0.09203967006959841
HLF,0.09200478906544993
OCUM1,0.09191960980640511
COLO678,0.09189994222529117
TCCSUP,0.09179464048319078
HT29,0.09158915594822399
REH,0.09147691797900367
PFEIFFER,0.09078563828051413
HCC56,0.09058982621892792
NCIH1339,0.09045282530887376
AN3CA,0.0899286149522742
MORCPR,0.0897652911956642
KYSE150,0.08907948543968805
PC14,0.08895263443616527
JHUEM2,0.08863887047130703
MDAMB453,0.08854011477977178
GCIY,0.08814680085814582
HEP3B217,0.08802899105058683
SIGM5,0.08791385087759769
BT20,0.08760395757161851
MJ,0.08688439254922407
HS578T,0.08665376354755798
G402,0.08664365394541067
SNU1,0.08658483001986582
SKBR3,0.08653340096295493
NUGC3,0.08603409176504637
MC116,0.085455917378652
MEG01,0.08544993612082723
BL70,0.08363188533883968
BCPAP,0.08362395196659383
AU565,0.0829562033560289
KASUMI2,0.08286801234333672
SKMEL31,0.08193225020950265
HEC1A,0.081262381953536
MEC1,0.08102021556221806
HPAFII,0.08070041453945
KCL22,0.08057484238754248
OCIAML5,0.07961092111090526
KMBC2,0.07952195090500588
SUDHL8,0.07917007082877199
PANC0403,0.07915699316835886
PK1,0.07903992577171506
OE33,0.0785736072991823
HEC265,0.07833171494486509
JHH6,0.07717313910580614
NCIH1944,0.07501662789073485
HUH1,0.07479875595342587
SW620,0.0735540769562001
NCIH358,0.0733142996870409
SH10TC,0.07327251733313696
T47D,0.0729759375832164
P3HR1,0.0725612154235439
LS513,0.07168201042580807
SNGM,0.07145676058665007
HT1197,0.0711196142478993
MDAMB415,0.0704147085262421
KE39,0.06854352788030223
JHH5,0.06825186686361308
HT,0.06563097606288712
AMO1,0.06504140404119499
PK59,0.06483391970002941
BDCM,0.06399741251155924
NCIN87,0.06337905417863285
SCC9,0.061522522283676676
MCF7,0.06111941004855347
