,MED411
NCIH2170,0.10459181735428288
MSTO211H,0.10454358939253297
KYSE410,0.10425032495787011
TE14,0.10396559473443925
OVCAR8,0.10376944289928657
JIMT1,0.10280572988509395
MKN45,0.10274200734807062
CALU6,0.10268437662580009
COV362,0.10155662958175175
HCC95,0.1011327769136071
EN,0.10103398026418035
SNU503,0.10087281036755476
DETROIT562,0.10047092763566748
HCT116,0.10006755660437998
NCIH1666,0.09994368490284244
HSC3,0.09968675170605705
HS940T,0.09964147041838206
KP4,0.09943051105615457
PECAPJ34CLONEC12,0.09942909631686524
CALU1,0.09921378866863341
NCIH2444,0.09910083612780893
NCIH460,0.09897661214958516
OE21,0.09883073211381023
YD10B,0.0986439459106123
BICR6,0.09805649176413224
SNU423,0.0973583848387854
YD38,0.09728964714432346
NCIH1693,0.0965608497610114
SW579,0.09436736959383618
CHAGOK1,0.09429855092246296
EFM192A,0.09415570202727132
HCC1588,0.09413433125204508
HCC1195,0.09401530200026118
MIAPACA2,0.0938524895203665
EKVX,0.09380895028505953
TE4,0.09316895253176191
MFE296,0.09308581149787255
RCC10RGB,0.09284969659511277
NCIH1650,0.09245402599037274
NCIH727,0.09234387040327026
BT549,0.09225419173963798
NCIH2023,0.09214168507711262
SF268,0.09204066417227409
RH30,0.09187549195330758
DBTRG05MG,0.09151888433039725
RH41,0.09150066388058904
HS688AT,0.09079621271591373
SNU182,0.09042153952318405
SNU216,0.09021975961516494
HCT15,0.08971191506860302
WM2664,0.0896270002365743
MKN7,0.08918921547596038
JHOS2,0.08918188396214562
TE617T,0.08914615113271877
ES2,0.08907662641609507
SW1353,0.08894469964824255
OVCAR4,0.08881242531949961
HCC1395,0.08873570449733331
BFTC905,0.08853418980573081
SW1088,0.08849211712327129
HUH28,0.08844893632150763
NCIH2172,0.08823852748690743
BICR56,0.08808851680953479
SW1116,0.08768814939683961
786O,0.08764247165567379
U2OS,0.08740384907807985
NCIH23,0.08718910404581418
COLO792,0.08683221699764726
OAW28,0.08668410285105857
HGC27,0.08627243125352613
ONCODG1,0.08602159913802038
NB1,0.08582301259679626
NCIH650,0.08524452724428373
KURAMOCHI,0.08514455375748184
BICR22,0.08506158556628902
TE6,0.08504162051363595
KMRC2,0.08480532760379768
OVK18,0.08462376559787284
EPLC272H,0.08381726984688577
SKES1,0.08325835705887091
EBC1,0.08321291336161903
SNU685,0.08309614837207217
CAL148,0.08301870848801947
HCC44,0.08245991087573702
SKNAS,0.0823663661431724
WM88,0.0821365136516487
YH13,0.08199838335217907
YKG1,0.08173918667311632
NCIH1395,0.08171758439031442
G361,0.08167397343276805
HCC1438,0.08164706991309545
YD15,0.08162824068825317
MPP89,0.0815665173213108
GSS,0.08150255643139451
G292CLONEA141B1,0.08135266377220914
BICR31,0.0813406107364694
FTC238,0.08076191413775857
A253,0.08068049999832765
SCC25,0.08028113380850009
WM793,0.07945618610238024
CCFSTTG1,0.07940035190551357
SNU46,0.0790854046733172
HCC1569,0.0788191869681865
SNU119,0.0787369562412459
HDMYZ,0.07860809711154229
HS936T,0.07852342900214374
NCIH1792,0.07836513236318321
SAOS2,0.07810584103575065
RD,0.07777527044338939
ECGI10,0.07745776081849153
IGR37,0.0773833332432211
OV7,0.07732593535513291
CAL12T,0.07699278260905468
UMUC1,0.07618641186962348
MOLP8,0.07575553616479902
