,RCMB18,COSMIC ID
cosmic_909264,-0.2767837523397516,909264
cosmic_905986,-0.27751602547423987,905986
cosmic_949176,-0.2777417843272223,949176
cosmic_949164,-0.27834622144191506,949164
cosmic_1299075,-0.27899940279037105,1299075
cosmic_1240216,-0.28012916632363505,1240216
cosmic_724828,-0.28252655932216286,724828
cosmic_687452,-0.2826014996476165,687452
cosmic_909718,-0.28299749517086087,909718
cosmic_1240129,-0.28378100796200595,1240129
cosmic_1480359,-0.28434678333725144,1480359
cosmic_946370,-0.28489117300867345,946370
cosmic_909756,-0.28490740019767924,909756
cosmic_722058,-0.28503053452608546,722058
cosmic_949171,-0.28570505298408494,949171
cosmic_1480358,-0.28583698717012507,1480358
cosmic_684072,-0.28586753174659635,684072
cosmic_910920,-0.28628312897873887,910920
cosmic_906849,-0.2865592076546412,906849
cosmic_909730,-0.2868967904597566,909730
cosmic_1240174,-0.2874598187465054,1240174
cosmic_1240191,-0.2875607943582253,1240191
cosmic_907042,-0.28806350244123446,907042
cosmic_1240134,-0.2887286524417106,1240134
cosmic_949162,-0.28896471094640813,949162
cosmic_908138,-0.28931745905372286,908138
cosmic_907172,-0.28947113004861835,907172
cosmic_1298534,-0.29065315688072973,1298534
cosmic_906847,-0.2908583209720039,906847
cosmic_909257,-0.29142077717360876,909257
cosmic_949165,-0.29227429613471745,949165
cosmic_907320,-0.29322922093983156,907320
cosmic_1298350,-0.2934826242433254,1298350
cosmic_909723,-0.2935356753516591,909723
cosmic_909256,-0.29373243770509416,909256
cosmic_906820,-0.29460460805972155,906820
cosmic_907047,-0.2949598852311653,907047
cosmic_724855,-0.29512576243838295,724855
cosmic_1240149,-0.29570538111647243,1240149
cosmic_753573,-0.29576690172640313,753573
cosmic_906827,-0.2958902791680366,906827
cosmic_1330985,-0.29608714539724296,1330985
cosmic_907073,-0.29653318184200417,907073
cosmic_925342,-0.29654080929458104,925342
cosmic_753556,-0.2971163519929989,753556
cosmic_907282,-0.297354231482784,907282
cosmic_1240217,-0.2974556985181202,1240217
cosmic_1299052,-0.2977947666910289,1299052
cosmic_908121,-0.2983477151835027,908121
cosmic_749713,-0.2984983560191001,749713
cosmic_907790,-0.29889612463063336,907790
cosmic_1240221,-0.2990280086008998,1240221
cosmic_910853,-0.2994190553270053,910853
cosmic_1290765,-0.3001576736761123,1290765
cosmic_908443,-0.3003117423516325,908443
cosmic_906818,-0.3003153989062776,906818
cosmic_724879,-0.30035280260343716,724879
cosmic_684052,-0.3014170659270444,684052
cosmic_1240131,-0.30143665884272164,1240131
cosmic_924187,-0.3022315163157506,924187
cosmic_1240178,-0.30311803750512795,1240178
cosmic_687802,-0.3031255477990486,687802
cosmic_687983,-0.3032270035280559,687983
cosmic_1480374,-0.30348252856097935,1480374
cosmic_684681,-0.30358813131975976,684681
cosmic_910566,-0.30383660158480275,910566
cosmic_713880,-0.3041247556122675,713880
cosmic_909248,-0.3048339985750905,909248
cosmic_753555,-0.3049124353050669,753555
cosmic_906794,-0.3052162377014729,906794
cosmic_749710,-0.3054422835892873,749710
cosmic_687815,-0.3056346921370081,687815
cosmic_1240215,-0.306214202814488,1240215
cosmic_749712,-0.30651604207883076,749712
cosmic_687459,-0.30741563244735026,687459
cosmic_910904,-0.3076767025717076,910904
cosmic_949163,-0.30777878426264194,949163
cosmic_906795,-0.30786304561437844,906795
cosmic_949090,-0.3082012003865335,949090
cosmic_905991,-0.3082456647968776,905991
cosmic_1240190,-0.30844872096295906,1240190
cosmic_1240192,-0.30846769552054,1240192
cosmic_907323,-0.3093372978413842,907323
cosmic_946355,-0.30967436434131435,946355
