,MED2312
HCC1806,0.05895109352944411
42MGBA,0.05891699859515898
BT474,0.058642836987291155
HCC1569,0.05831489476351236
G401,0.05760647850933643
8505C,0.0565596449226424
SW1271,0.0563356253784195
SUDHL6,0.05570113312824889
BCPAP,0.055658292217200186
EFE184,0.05526973065382664
SW780,0.055109010023834816
C2BBE1,0.05496074445404093
BL41,0.054674856973534955
KNS42,0.05457982865174772
786O,0.0544408556589954
HS294T,0.053626219374656586
CAL851,0.053584685869678794
769P,0.053565730371243236
ONS76,0.05335640787748738
KNS60,0.053012134790861545
RVH421,0.052893324829665224
NCIH2228,0.05287703817276443
UACC257,0.05282461954639788
SNU423,0.05267597561429092
KALS1,0.052634111340561444
JHOS4,0.05260280970580664
C32,0.0523870488259842
HCC4006,0.051558943137064155
HCT15,0.051368698679132865
COV504,0.05135476501019061
RERFLCMS,0.05121237506136682
GB1,0.05075574949107953
639V,0.05007368030033755
HUCCT1,0.04997325761987674
RPMI8402,0.04984569006625118
HS695T,0.04982674854900468
LN18,0.04970375089073315
NCIH1573,0.049304272379675274
SJSA1,0.04901673667345075
T98G,0.048875690414084995
SKNAS,0.048410263862190106
MDAMB453,0.04821279547218565
SUDHL4,0.048194718903010775
NCIH1568,0.04812112098725358
MKN7,0.0480916974902857
IPC298,0.047951547261953574
U118MG,0.04777801199766652
KMS26,0.04774899248710318
NCIH28,0.04753749574255831
BL70,0.046898302576824855
SF295,0.04681548169734523
KP4,0.04646658528607985
NCIH2172,0.04646409459926279
HEPG2,0.04635437546711854
HEP3B217,0.04594910739347279
SKMEL31,0.04561106870440981
CAL12T,0.04493024702941755
KNS81,0.04483212517411862
KMM1,0.04481527490653133
HCC44,0.044579137422467496
L428,0.04416396937715815
MJ,0.04364014427285021
MG63,0.04344195110659834
HUPT4,0.04343602229248681
WM1799,0.04322473511608467
SKLU1,0.04322202565283263
UACC62,0.0431795360077164
PC3,0.04306022518789767
SKLMS1,0.04233979683753183
BXPC3,0.04227948100030115
KYSE70,0.04217839066702473
NCIH358,0.041976166952307645
IALM,0.0419361664125023
T24,0.04142237000876321
NCIH1563,0.041119409644816446
NCIH322,0.04075819260193993
