,ICB1299,COSMIC ID
cosmic_724872,-0.32757727901258343,724872
cosmic_971773,-0.3283538619668478,971773
cosmic_946357,-0.32849035564244305,946357
cosmic_1299070,-0.33003636199515135,1299070
cosmic_724855,-0.3324683091776398,724855
cosmic_909730,-0.33255738840033844,909730
cosmic_909779,-0.3333074293134634,909779
cosmic_949172,-0.3333634019710521,949172
cosmic_908458,-0.3355275471502378,908458
cosmic_684072,-0.3365270583115823,684072
cosmic_1240182,-0.3365534374415317,1240182
cosmic_753551,-0.3374502096336228,753551
cosmic_946360,-0.33749464845868504,946360
cosmic_687995,-0.3395599006303113,687995
cosmic_684057,-0.3400165802553436,684057
cosmic_908129,-0.34393904810229947,908129
cosmic_910942,-0.34594791775108724,910942
cosmic_909264,-0.3471274423591824,909264
cosmic_684062,-0.3490160867662252,684062
cosmic_906849,-0.34947979773650506,906849
cosmic_907055,-0.3502930339837282,907055
cosmic_684052,-0.3528729102199121,684052
cosmic_906847,-0.3529346727517126,906847
cosmic_949161,-0.35393761330944845,949161
cosmic_910569,-0.3540476552601241,910569
cosmic_1298349,-0.3543867071301487,1298349
cosmic_1240191,-0.35456152750788,1240191
cosmic_753539,-0.35492555517751356,753539
cosmic_910851,-0.3552704504188439,910851
cosmic_908131,-0.35723150826887523,908131
cosmic_925342,-0.35724783392781656,925342
cosmic_724828,-0.3574335030175086,724828
cosmic_1480359,-0.3580852000272785,1480359
cosmic_1240217,-0.358151455517173,1240217
cosmic_949158,-0.3595790629916805,949158
cosmic_713880,-0.36048341409781637,713880
cosmic_1331040,-0.36060904261383786,1331040
cosmic_924187,-0.3612324904043836,924187
cosmic_1327765,-0.3624451181587996,1327765
cosmic_1240189,-0.3628157058851804,1240189
cosmic_908443,-0.36440493013215564,908443
cosmic_909707,-0.3655273549940585,909707
cosmic_1659817,-0.3656551850308784,1659817
cosmic_924238,-0.36632902971301445,924238
cosmic_1240192,-0.3665012353756608,1240192
cosmic_1298538,-0.36660775294926146,1298538
cosmic_949090,-0.36669636471234673,949090
cosmic_907319,-0.3671162164410261,907319
cosmic_1297447,-0.3679860538568132,1297447
cosmic_910900,-0.3687914941737327,910900
cosmic_1480361,-0.36998918238804607,1480361
cosmic_949163,-0.3702630931979764,949163
cosmic_906794,-0.3713216450896643,906794
cosmic_1240199,-0.3715450734332931,1240199
cosmic_906820,-0.3722204758080414,906820
cosmic_906850,-0.37250835035002045,906850
cosmic_753559,-0.3728938707263127,753559
cosmic_906848,-0.37309145223914814,906848
cosmic_687798,-0.3734573031037749,687798
cosmic_946370,-0.3737030222382322,946370
cosmic_907047,-0.373823970052082,907047
cosmic_684059,-0.37396553648885517,684059
cosmic_909977,-0.3746716076133179,909977
cosmic_908471,-0.37514407712942927,908471
cosmic_906844,-0.37662393959809254,906844
cosmic_1240216,-0.3771492472651625,1240216
cosmic_909744,-0.37890982242777616,909744
cosmic_906804,-0.3795107240851414,906804
cosmic_907073,-0.3810166805900269,907073
cosmic_724879,-0.3811483266165522,724879
cosmic_909727,-0.38134683985242296,909727
cosmic_909257,-0.3813862679549102,909257
cosmic_753573,-0.3814554137998568,753573
cosmic_910934,-0.38156791975120297,910934
