,MB002
GAMG,0.020694304293551256
P12ICHIKAWA,0.019847989454048774
COLO320,0.019632666419436052
LP1,0.01934358278899386
ISHIKAWAHERAKLIO02ER,0.019089189682441134
HCC1187,0.019084641542445928
T98G,0.018807182984868095
SKHEP1,0.018543435213261805
G401,0.01822147752878099
JHUEM2,0.017854791968773112
KMS26,0.017656214605783194
SNUC2A,0.01754653597899261
HMC18,0.01699988530746322
HS939T,0.016815878119506925
SW48,0.016377845881748263
KNS42,0.01583820281000372
CAS1,0.01527248551276716
SJSA1,0.015194414394589899
SKMEL30,0.015181410189444867
8505C,0.015169450868018472
NCIH650,0.014824988889912414
IGROV1,0.014617528009971466
UACC812,0.014349638582858466
CAKI2,0.014319206079009055
YKG1,0.014145115141968383
L33,0.013940409215027963
SUDHL6,0.013882488444956077
NCIH1793,0.013460112179258028
AMO1,0.0133354765230932
SUPM2,0.012970594195854413
SKMES1,0.01280418881255768
PATU8902,0.012509591668647714
JHH7,0.012450314911943528
RL952,0.012388116440850751
SKLU1,0.012113527448691607
GRANTA519,0.012073058471194581
RERFLCAI,0.012012214030036251
SKNAS,0.011046699887085506
WM1799,0.010970049332556022
VMRCRCZ,0.010684679454422356
MDAMB453,0.010669779241473757
SCC9,0.010634678712853172
HCC827,0.010135812679227769
HT1197,0.009873386278303514
PFEIFFER,0.009412471551549001
HPAFII,0.00936015321450685
HCC70,0.009335376796601909
KMM1,0.009109157578045283
769P,0.009016780876434143
LCLC103H,0.008904973564181263
SW403,0.008600726732616323
SNU387,0.00849833603009286
SUPT1,0.008427326334369184
TE617T,0.008426445342070168
HS766T,0.008368852190492878
MJ,0.008364129533595518
KCL22,0.008031774784745833
KYSE510,0.00797551663667916
OPM2,0.007556372774905728
JURKAT,0.0075088156547727025
MC116,0.007333153694939163
HS695T,0.0069727269597345464
SNU16,0.006849849500681681
U87MG,0.00679888104616341
T24,0.006742309578240442
PC14,0.0067343060289569755
HS852T,0.006587756486208514
TE9,0.006584719576993385
IALM,0.006279923925169705
UMUC3,0.006068143521668459
KARPAS299,0.005837159320252104
MALME3M,0.00560701020937562
TE5,0.004841018974124929
JHH2,0.004829962809320463
PLCPRF5,0.004693356309660876
