,MB002,COSMIC ID
cosmic_924100,-0.3718439319041541,924100
cosmic_925342,-0.3720914730218864,925342
cosmic_1327765,-0.3727570543433292,1327765
cosmic_906693,-0.3730522007699729,906693
cosmic_924110,-0.3737430493929635,924110
cosmic_1240182,-0.3740174398888764,1240182
cosmic_907060,-0.3746903809849843,907060
cosmic_949167,-0.375123803675545,949167
cosmic_687802,-0.3752647470487286,687802
cosmic_908468,-0.3766398222936146,908468
cosmic_1331040,-0.37679354625828615,1331040
cosmic_906849,-0.3781720733694507,906849
cosmic_949179,-0.37918479185608056,949179
cosmic_1298349,-0.3793260391800901,1298349
cosmic_907320,-0.3813877585279468,907320
cosmic_905965,-0.38247242175596247,905965
cosmic_1240192,-0.3829863671081143,1240192
cosmic_971773,-0.38316886771437114,971773
cosmic_753534,-0.3837240158338679,753534
cosmic_910942,-0.3839963401304942,910942
cosmic_949158,-0.3849421137939723,949158
cosmic_1503371,-0.385307186091006,1503371
cosmic_1240221,-0.3853244065901519,1240221
cosmic_906794,-0.3862170749625058,906794
cosmic_909711,-0.38691596040171117,909711
cosmic_907323,-0.3883636855019163,907323
cosmic_717431,-0.38859144575881394,717431
cosmic_908451,-0.38885453830907757,908451
cosmic_1327775,-0.38889353304737095,1327775
cosmic_909718,-0.38895447034554137,909718
cosmic_1330973,-0.3891719339883367,1330973
cosmic_687814,-0.3896692958775891,687814
cosmic_925345,-0.390497509146434,925345
cosmic_753615,-0.3914643386539697,753615
cosmic_749710,-0.39239178026224864,749710
cosmic_946360,-0.3927232302637223,946360
cosmic_908151,-0.3932015709121536,908151
cosmic_753559,-0.3932709143262038,753559
cosmic_949161,-0.3935281435239803,949161
cosmic_906850,-0.3937054016875062,906850
cosmic_684057,-0.3942262964291553,684057
cosmic_949160,-0.3943968093580162,949160
cosmic_905942,-0.3944693637151658,905942
cosmic_1322212,-0.39531256571733125,1322212
cosmic_1240205,-0.39533222415702235,1240205
cosmic_753556,-0.3955668705524379,753556
cosmic_753577,-0.39604586159228006,753577
cosmic_908149,-0.3960655314738567,908149
cosmic_687505,-0.39611591049549194,687505
cosmic_1240122,-0.396217375453983,1240122
cosmic_687452,-0.3968416342220444,687452
cosmic_909707,-0.3970365794828044,909707
cosmic_1240191,-0.3971588387607582,1240191
cosmic_907275,-0.397307272582119,907275
cosmic_998184,-0.39755244778747395,998184
cosmic_908159,-0.3976882420602821,908159
cosmic_910900,-0.3978404901607574,910900
cosmic_910911,-0.3979342724447693,910911
cosmic_925340,-0.3979681812233999,925340
cosmic_1240134,-0.3980586326899252,1240134
cosmic_713880,-0.3984298487865169,713880
cosmic_1290730,-0.39876453534527484,1290730
cosmic_753565,-0.3989322292270627,753565
cosmic_908150,-0.39913160270810616,908150
cosmic_906848,-0.39921865585855265,906848
cosmic_753555,-0.39972910355764985,753555
cosmic_1240200,-0.40031505232031045,1240200
cosmic_1240209,-0.4003314253375299,1240209
cosmic_907273,-0.4005215750454953,907273
cosmic_910545,-0.40057954263942314,910545
cosmic_907047,-0.4006305931304807,907047
cosmic_1298534,-0.4010133247902382,1298534
cosmic_908473,-0.4018960121716743,908473
