,DMB006,COSMIC ID
cosmic_907319,-0.2956076770938643,907319
cosmic_930299,-0.2961586651473647,930299
cosmic_1240210,-0.2963265026224979,1240210
cosmic_908440,-0.2972228696279391,908440
cosmic_1298538,-0.29912808284569603,1298538
cosmic_949155,-0.30320440780160707,949155
cosmic_724855,-0.30348911145704655,724855
cosmic_753565,-0.3049819870404067,753565
cosmic_908458,-0.30623078481042243,908458
cosmic_971773,-0.3084693733564166,971773
cosmic_906812,-0.3095989714086042,906812
cosmic_909264,-0.31055208597670636,909264
cosmic_907785,-0.31215875667802767,907785
cosmic_910942,-0.3122467919875872,910942
cosmic_1287381,-0.31291239685920885,1287381
cosmic_949172,-0.31533491421062204,949172
cosmic_949158,-0.3154323943946695,949158
cosmic_1299070,-0.3161742133966899,1299070
cosmic_684059,-0.31638322553283116,684059
cosmic_907791,-0.31651160566500547,907791
cosmic_908119,-0.3170033513263761,908119
cosmic_684055,-0.31729357816961007,684055
cosmic_906848,-0.3175016328766016,906848
cosmic_1524417,-0.3175972950900785,1524417
cosmic_753573,-0.319411784553114,753573
cosmic_1240189,-0.3201287273993688,1240189
cosmic_1240216,-0.32074063515442847,1240216
cosmic_910931,-0.3209662577344602,910931
cosmic_925342,-0.3211884015892078,925342
cosmic_949160,-0.321207540451979,949160
cosmic_1480359,-0.3224704890187883,1480359
cosmic_949167,-0.3229198345673102,949167
cosmic_907790,-0.3231267123526933,907790
cosmic_949090,-0.32341356622885037,949090
cosmic_906844,-0.32392746633479574,906844
cosmic_1659817,-0.32434863594490976,1659817
cosmic_910569,-0.3249802738103181,910569
cosmic_908121,-0.32535133972809316,908121
cosmic_949176,-0.32552706300175865,949176
cosmic_908471,-0.3258412876630655,908471
cosmic_1503371,-0.32647993589179425,1503371
cosmic_949164,-0.3281339069793605,949164
cosmic_910900,-0.3290632567354194,910900
cosmic_909716,-0.3291958979271383,909716
cosmic_908150,-0.3292361826878655,908150
cosmic_949093,-0.32957693087709844,949093
cosmic_684057,-0.33036616890616793,684057
cosmic_753576,-0.33037898484369943,753576
cosmic_1240191,-0.33047662975481396,1240191
cosmic_1480361,-0.33067713301286683,1480361
