,DMB006
MDAMB453,0.031514044581207996
MFE296,0.03148707275985337
SH4,0.031139135999824492
IALM,0.030975282021876473
K029AX,0.030896653753022304
CAL29,0.030790462390774584
SNU899,0.030775479402679128
KNS81,0.030233269914287035
HCC366,0.030190006622250763
TE11,0.030182828246564968
PSN1,0.030044513983334634
NCIH28,0.030019420781263944
NCIH2030,0.030011036778427157
NCIH1573,0.02984085362263967
EFO27,0.029468470941134434
HEP3B217,0.029272249455034226
KYSE520,0.029025387010741043
SU8686,0.028918257659149377
A101D,0.028457241691538883
HEL,0.028393902431803227
HCC2108,0.028345850387370423
HCC1428,0.028323162916536287
NCIH226,0.02825844373133272
CAL33,0.027945610446501245
EBC1,0.027926806706377864
PLCPRF5,0.027446486073694834
SNUC2A,0.027308525784827002
LOXIMVI,0.027294982949077295
NB1,0.026779023022611585
SNU1077,0.026739010752454145
LS123,0.02651060735803404
NCIH2405,0.0264919749743039
BICR56,0.026215509729286986
COLO678,0.026177171030465185
KMBC2,0.025957063696670165
OE19,0.025901147964596825
CCK81,0.025689442530568585
SCABER,0.02540918084157679
JHUEM2,0.025318409311847517
253JBV,0.02529584428249814
CL11,0.024060601401183157
HSC4,0.02394301542929303
HELA,0.02384049090390063
A2058,0.023621066056716995
U118MG,0.02354306475698505
WM1799,0.023512644361358834
PK45H,0.023509008504141532
SNU410,0.023426635735035492
GI1,0.023418367548261803
MORCPR,0.023125725730706825
SNU869,0.023082010778520592
JHH5,0.02257156695576802
SNU840,0.0223924141730173
HEC251,0.022323650840336457
SH10TC,0.021978129282137996
L33,0.021859846975885427
NCIH2122,0.021848470169725805
CAL851,0.021815019606658447
769P,0.021648235632372514
ONS76,0.021603844800301496
RL952,0.021384062943807694
TE9,0.02107187962920033
NCIH1869,0.02106574603973703
PANC0504,0.020785255657917518
HLF,0.02078440161635319
MALME3M,0.020593142108969772
SF295,0.020475821561332135
LS411N,0.020426844775112307
JHH2,0.02012519993836348
NCIH2126,0.019934741372532407
SKBR3,0.019436122522865244
SW948,0.018493517005035143
HS895T,0.018198517720829532
HDQP1,0.018116312587896997
HMC18,0.01795968597559899
SNU61,0.017828351911209423
HOP92,0.017823084973549674
HCC827,0.01771438645877977
BFTC909,0.01760255883787426
DANG,0.01753881305439874
RERFLCAD2,0.017013876187589896
SNU1033,0.01652095012774366
CAPAN1,0.01611357272523032
KYSE510,0.015966575320717942
BXPC3,0.015364452526714286
MDAMB468,0.015182466497461277
NCIH2452,0.014834288640794181
SW620,0.014364247011165893
LOVO,0.014183512150128487
LOUNH91,0.014139542366727393
RT4,0.01378661898929682
CL34,0.013316593182506506
CFPAC1,0.012865129191494434
LS1034,0.012281453997200273
LXF289,0.011999285807819907
SNU245,0.011690235400965759
CAL62,0.011682934074628906
G402,0.011456839939160314
AU565,0.011445644251820798
LCLC97TM1,0.010449581521351212
SNU1272,0.010384242337901986
KP2,0.010152211296593683
ACCMESO1,0.010134850827899113
NCIH1793,0.009430986056210679
CORL105,0.009421609742078181
OUMS23,0.009418835978756342
PANC1,0.007980427883193112
HUH6,0.006705754227699306
C32,0.006512527724461254
KCL22,0.006441871445210393
HEC59,0.006335380076706479
NCIH1339,0.005734283187488285
SCC4,0.005510603722474997
SNU1076,0.005198321291197797
SW1990,0.00519306848944856
SNU449,0.00481349632486249
ZR7530,0.004773301469523526
HT29,0.0047017712958488745
NCIH2342,0.004648179033913379
T47D,0.004450118953008967
BT20,0.00430629365687281
SKUT1,0.004279823457420571
RKO,0.00412874703767871
ASPC1,0.00410890800477411
NCIH2087,0.004009689421511519
HCC1419,0.003951461339199831
SNU1041,0.0035657525700208224
JVM2,0.0034219552929202496
PANC0403,0.00339736523194237
NCIH1435,0.0028982044801288257
CJM,0.002169103837195361
DLD1,0.0017406333136331061
PK1,0.0016195120929079756
IGROV1,0.0006651795755363471
KYSE150,0.0002845729445254289
COLO201,-0.00044490418208003603
TE5,-0.0006066028458407878
AN3CA,-0.0006324660637266361
NCIH358,-0.0012931813394592667
JHH1,-0.0013451747068395491
KYSE140,-0.0014482594922462708
RT112,-0.001964170247498063
NCIH1944,-0.002029670524650159
TOV21G,-0.002431609118355845
MDAMB415,-0.0024633669718701194
KYM1,-0.002876031072192171
HCC1937,-0.0028808384788927793
HEC50B,-0.002927661603640359
SNU407,-0.003244584730252013
BHT101,-0.003473809314003845
TYKNU,-0.004111016478581272
HCC202,-0.004841167081447346
HPAFII,-0.006130988444861575
BHY,-0.00624271576587753
PANC0813,-0.006654393985313785
LS180,-0.0068561780684179945
HCC2935,-0.006864074597316381
HT1197,-0.007375117515186587
HEC1B,-0.00748185561142851
SNU478,-0.007503746904431188
SNU719,-0.007648784135021745
HPAC,-0.007837588724747012
SNU213,-0.007856561349166851
SQ1,-0.007914369891619161
OE33,-0.007964453404636869
HT115,-0.007974705919536742
DV90,-0.008369191503555366
NCIH1373,-0.008374200622167814
HT1080,-0.008690420597265776
SNU761,-0.008705923455987568
NCIH1838,-0.008947265564354647
MCAS,-0.009144073877252202
NCIH2110,-0.009538356234088963
HEC1A,-0.009835420717205856
KE39,-0.009971562355885033
RERFLCAD1,-0.010605469748657833
SKLMS1,-0.010764851863988182
HCC78,-0.011070382552614406
SNU1079,-0.011755940711062366
HUH1,-0.012099190076262248
EFO21,-0.0121602344154126
HS766T,-0.01245855778166589
OSRC2,-0.013912559240112043
PANC1005,-0.01479549838096985
TE15,-0.01575180125297962
KASUMI2,-0.015857843655159753
HUPT3,-0.016632888472755233
IM95,-0.018405016698989408
GSU,-0.018473354034266247
SNU1196,-0.01922587221992658
COLO680N,-0.020096175358711728
HS611T,-0.02213541936815749
SNGM,-0.02215537907391284
JHUEM1,-0.023036295868112698
KM12,-0.02356430031295588
OCUM1,-0.024237293747014894
NCIH2009,-0.024562659752274292
RCM1,-0.02485397151650896
MDAMB435S,-0.0251188636336379
LAMA84,-0.027222886165409788
PC14,-0.02859055176582808
PANC0203,-0.029724614274579276
HEC151,-0.030034972291358368
NCIH441,-0.03159764113771418
NCIH1915,-0.031804372911279986
KP3,-0.032377625204756504
SKCO1,-0.032464467365393275
PATU8902,-0.03367836685783513
AM38,-0.03434507173112264
HEC265,-0.03496023214800051
NCIH838,-0.03497288464816938
HT1376,-0.03569040937064339
HEC6,-0.036313210463472835
KYSE30,-0.036348179158501435
ALLSIL,-0.036593119325777954
T84,-0.038672538617217145
LS513,-0.03903959042627633
SNU601,-0.039237996273241954
JHH4,-0.040915877276939086
SNU308,-0.0430552977749972
SCC9,-0.05133187264141101
NCIN87,-0.05998234412787259
PK59,-0.07201190840909923
HEC108,-0.07533738687613753
