,DMB006
HCC44,0.06933772187108213
KMRC2,0.0690131509876256
NCIH1568,0.06899819010078226
LU99,0.06873000473928298
OVCAR4,0.06863597021914669
RVH421,0.06785096389056926
SKNAS,0.06743292339362471
CAMA1,0.0670845229547342
HCC15,0.06653315743699383
VMRCRCW,0.06599070557481827
HMCB,0.06594319743199718
GAMG,0.06587801530220658
MFE319,0.06544156028390918
J82,0.06523373259831579
A2780,0.06510192850397196
VMRCRCZ,0.0646389642480699
JHH7,0.06457400729304191
SKOV3,0.06441170930770981
SKHEP1,0.0638730519096017
NCIH460,0.06357858541286614
TE617T,0.06343406468997814
CALU1,0.06320217398324786
MHHES1,0.06311712356905859
SKMEL24,0.06294245067515114
42MGBA,0.06175697414183179
KALS1,0.06165211787811035
CAKI2,0.060992968189390366
A673,0.060716173199967416
SNU16,0.06069966099199646
639V,0.06056588348625074
KNS60,0.060546296312507214
UACC257,0.060514671665957455
LP1,0.060181686973706926
NCIH2228,0.06013322758894724
HT144,0.05946046464644608
HS944T,0.05936694236887636
HEPG2,0.05920342073944924
WM88,0.05892703336907894
COLO320,0.05848509283614461
NCIH1693,0.05810672898239107
SNU423,0.05789023427488413
HUPT4,0.05787958905589883
NCIH1703,0.057878849343373354
SKMES1,0.057790658850123064
T98G,0.05775521783341169
UMUC3,0.057339172324085176
SW403,0.05666634095731078
TE1,0.056603114107285246
OVSAHO,0.05644816591365494
EFE184,0.05629966044257468
GB1,0.056016805711901756
HS939T,0.05572250490340518
SUDHL6,0.055217420305437234
MG63,0.05502753381428623
HS695T,0.05483779733305016
HCC1569,0.054272356867839364
MELHO,0.05388826152627417
SUDHL4,0.05347718134991211
NCIH2023,0.05222388930062225
IPC298,0.05218598120637694
KMS34,0.0521282097742874
OV90,0.052062623842422925
CALU3,0.05189004719980365
SW780,0.05157416264581346
HCC1395,0.051529065794020265
U87MG,0.05149039479704836
HS852T,0.05049710293812097
OVTOKO,0.05017384661302003
YKG1,0.050051458446037735
G401,0.05002973449386299
NCIH647,0.04994976719510924
UACC62,0.049550783952584644
KP4,0.04940413214729351
FU97,0.049244572045014756
MEWO,0.04898509653280815
8505C,0.04769293667816928
TCCSUP,0.04712984142931506
NCIH1563,0.04671096545158492
HUCCT1,0.04633722758866389
RERFLCMS,0.04589594836413805
COLO741,0.04575804637512207
COLO679,0.04562631527408335
JURKAT,0.04550486510271305
NCIH1355,0.04542237800962861
HCC1806,0.045353321999136664
MOLP8,0.04523376247763799
RPMI7951,0.045052869615932856
NCO2,0.04501810043442507
COV504,0.04447813108536836
A375,0.04437331579528522
HCC4006,0.043988797908962415
GCT,0.043956810631639906
LN18,0.04343261012380429
CAL12T,0.04281405891865682
T24,0.0423592509560968
PANC0327,0.042208558757954616
HS840T,0.04171591138888723
KMS26,0.04157379580428208
RERFLCAI,0.04153606333878264
LUDLU1,0.04118228371952474
HCC56,0.04106996028402759
NUGC3,0.04098640827795865
GMS10,0.04073032833976932
786O,0.04014465090398714
HS294T,0.039714095025591555
SKMEL30,0.03927423573029046
SKLU1,0.03907367056982548
KNS42,0.03882763638147521
JHH6,0.03811712389182347
SW1271,0.03805246232767174
SKMEL31,0.037969285512844286
MESSA,0.03746697700209601
SNU387,0.03701663890889493
OC314,0.03697227823324878
LN229,0.036410135845084145
MCF7,0.03618450552654607
HS746T,0.03617430705381298
MEG01,0.03563957141619649
PC3,0.03560457619635636
BCPAP,0.03518282096603367
NCIH2172,0.03468337113750428
NCIH322,0.034387070992029464
OPM2,0.034061939450352234
NUGC4,0.034003382031636685
HS578T,0.033535776471537077
CAPAN2,0.033195915875892865
LCLC103H,0.032931840855898196
NCIH2085,0.0329087779165919
MJ,0.03197210839503664
HDMYZ,0.031850078177917684
SKMM2,0.031610139701085706
HSC2,0.0316044919501344
MDAMB453,0.031514044581207996
MFE296,0.03148707275985337
IALM,0.030975282021876473
K029AX,0.030896653753022304
SIGM5,0.03078361669112538
BL41,0.030321314645135117
KNS81,0.030233269914287035
TE11,0.030182828246564968
PSN1,0.030044513983334634
NCIH28,0.030019420781263944
NCIH2030,0.030011036778427157
NCIH1573,0.02984085362263967
U937,0.029551518662947016
EFO27,0.029468470941134434
HEP3B217,0.029272249455034226
DEL,0.029206215986323926
RPMI8402,0.029150424703809852
SUPT1,0.029068647933390854
KYSE520,0.029025387010741043
SU8686,0.028918257659149377
OVMANA,0.028609615112446887
NCIH226,0.02825844373133272
HS739T,0.02794617014276914
EBC1,0.027926806706377864
PLCPRF5,0.027446486073694834
SNUC2A,0.027308525784827002
LOXIMVI,0.027294982949077295
REH,0.02667422866191573
LS123,0.02651060735803404
TEN,0.026500723167166063
COLO678,0.026177171030465185
KMBC2,0.025957063696670165
CCK81,0.025689442530568585
SCABER,0.02540918084157679
JHUEM2,0.025318409311847517
A2058,0.023621066056716995
U118MG,0.02354306475698505
WM1799,0.023512644361358834
PK45H,0.023509008504141532
GI1,0.023418367548261803
EFM19,0.023311182412507157
MORCPR,0.023125725730706825
GRANTA519,0.023024371383474566
JHH5,0.02257156695576802
HEC251,0.022323650840336457
SH10TC,0.021978129282137996
L33,0.021859846975885427
NCIH2122,0.021848470169725805
CAL851,0.021815019606658447
769P,0.021648235632372514
ONS76,0.021603844800301496
MC116,0.021476940453475223
RL952,0.021384062943807694
TE9,0.02107187962920033
NCIH1869,0.02106574603973703
MDAMB175VII,0.02088729201457153
HLF,0.02078440161635319
MALME3M,0.020593142108969772
SF295,0.020475821561332135
LS411N,0.020426844775112307
JHH2,0.02012519993836348
SKBR3,0.019436122522865244
KMM1,0.018939699938107686
NCIH1648,0.01833545151599061
HS895T,0.018198517720829532
HDQP1,0.018116312587896997
HMC18,0.01795968597559899
PFEIFFER,0.017845434042333307
HCC827,0.01771438645877977
BFTC909,0.01760255883787426
KYSE510,0.015966575320717942
DOHH2,0.01588737264055912
BXPC3,0.015364452526714286
MDAMB468,0.015182466497461277
SUDHL10,0.01503538456927777
SUPM2,0.015034717469737455
NCIH2452,0.014834288640794181
SW620,0.014364247011165893
LOUNH91,0.014139542366727393
KO52,0.014114722944780929
HS229T,0.013958259524181423
RT4,0.01378661898929682
HUT78,0.013640052951222876
JM1,0.012421471011674838
BDCM,0.012364637159207877
L428,0.012146053769333235
MEC1,0.012021623663161384
G402,0.011456839939160314
AU565,0.011445644251820798
P3HR1,0.01131426418803891
KP2,0.010152211296593683
NCIH1793,0.009430986056210679
CORL105,0.009421609742078181
697,0.009222390812555329
P31FUJ,0.006519944030993996
C32,0.006512527724461254
KCL22,0.006441871445210393
HEC59,0.006335380076706479
NCIH1339,0.005734283187488285
KE97,0.0054233331471944925
MOLT16,0.005410241731218794
GCIY,0.0053928309354572415
SW1990,0.00519306848944856
L363,0.004969797249025933
SNU449,0.00481349632486249
ZR7530,0.004773301469523526
HT29,0.0047017712958488745
T47D,0.004450118953008967
BT20,0.00430629365687281
RKO,0.00412874703767871
ASPC1,0.00410890800477411
NCIH2087,0.004009689421511519
P12ICHIKAWA,0.003883189819486411
PANC0403,0.00339736523194237
OCIAML5,0.0017387336316869609
PK1,0.0016195120929079756
TOLEDO,0.0011454234007784666
KHM1B,0.0007461836446267649
