,MED211,COSMIC ID
cosmic_906846,-0.43370349677208664,906846
cosmic_946370,-0.4341472044738084,946370
cosmic_910851,-0.4343610296098148,910851
cosmic_749709,-0.43439529908254926,749709
cosmic_908443,-0.43443014181246986,908443
cosmic_949164,-0.43480055494114,949164
cosmic_949090,-0.43482943378866357,949090
cosmic_907791,-0.43490796066695325,907791
cosmic_906863,-0.43538591216029315,906863
cosmic_1240141,-0.43592768805566134,1240141
cosmic_908463,-0.43594216615026876,908463
cosmic_908150,-0.4359872654004754,908150
cosmic_908459,-0.4362252773814734,908459
cosmic_906827,-0.43629352593263704,906827
cosmic_907790,-0.4365941643463951,907790
cosmic_905970,-0.4366438637502454,905970
cosmic_1240174,-0.4368318539671589,1240174
cosmic_687505,-0.4368969635114587,687505
cosmic_906820,-0.43711349933950455,906820
cosmic_724879,-0.4373774603953864,724879
cosmic_1240206,-0.4374973514760403,1240206
cosmic_910942,-0.43765766118864985,910942
cosmic_924110,-0.43770837282069214,924110
cosmic_1240218,-0.4378297064307893,1240218
cosmic_949163,-0.43800161010398486,949163
cosmic_1327766,-0.4380705401023222,1327766
cosmic_910695,-0.43830947154967714,910695
cosmic_907059,-0.4388829774661185,907059
cosmic_753573,-0.438903110017738,753573
cosmic_907312,-0.4389837153260796,907312
cosmic_949165,-0.439283064447625,949165
cosmic_753569,-0.43929401874025803,753569
cosmic_724874,-0.4392975414100275,724874
cosmic_1240204,-0.4393477256525092,1240204
cosmic_909769,-0.43944297923710834,909769
cosmic_910927,-0.43947101466270666,910927
cosmic_1480364,-0.4398081655223255,1480364
cosmic_910704,-0.4398333033742589,910704
cosmic_909723,-0.4399007837244637,909723
cosmic_1240122,-0.4401902308605456,1240122
cosmic_910687,-0.440355824629664,910687
cosmic_1240197,-0.440540097370138,1240197
cosmic_684059,-0.4406270751117946,684059
cosmic_722045,-0.4407687661791271,722045
cosmic_753561,-0.440798805917863,753561
cosmic_1290807,-0.44087830255113625,1290807
cosmic_909257,-0.4409492916474335,909257
